College_ID,IQ,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,College_Performance_Rate
CLG0030,107,6.28,8,0,8,8,4,0,0.19047619047619047
CLG0061,97,5.37,8,0,7,8,0,0,0.1792452830188679
CLG0036,109,5.83,9,0,3,1,1,0,0.1827956989247312
CLG0055,122,5.75,6,1,1,6,1,0,0.12790697674418605
CLG0004,96,7.69,7,0,8,10,2,0,0.14285714285714285
CLG0015,96,5.32,7,0,5,8,0,0,0.14736842105263157
CLG0071,123,6.58,5,0,7,8,2,1,0.09803921568627451
CLG0096,111,8.76,7,0,3,1,2,1,0.23232323232323232
CLG0097,92,6.33,9,0,7,8,5,0,0.16831683168316833
CLG0057,108,8.6,4,0,5,9,1,0,0.12087912087912088
CLG0063,93,8.9,2,1,5,6,0,0,0.18181818181818182
CLG0077,93,6.51,8,0,5,7,4,0,0.16822429906542055
CLG0064,103,9.01,7,1,8,6,1,0,0.15053763440860216
CLG0017,71,8.4,6,0,0,5,2,0,0.21052631578947367
CLG0053,74,7.31,7,0,0,1,2,0,0.14285714285714285
CLG0040,91,5.8,3,0,4,2,3,0,0.17894736842105263
CLG0070,84,7.54,6,0,0,10,0,0,0.12941176470588237
CLG0050,104,10.01,10,1,9,2,4,0,0.16666666666666666
CLG0068,86,8.15,7,0,8,9,4,1,0.14893617021276595
CLG0015,78,5.56,7,1,3,6,2,0,0.14736842105263157
CLG0072,121,8.07,5,1,1,3,3,1,0.13333333333333333
CLG0034,96,7.11,3,1,2,3,3,0,0.08928571428571429
CLG0030,101,8.22,2,1,8,10,0,0,0.19047619047619047
CLG0087,78,9.17,7,1,10,10,2,1,0.2268041237113402
CLG0073,91,7.86,4,1,7,2,2,0,0.11206896551724138
CLG0024,101,9.45,2,0,2,7,2,0,0.1511627906976744
CLG0008,82,8.86,8,0,7,1,0,0,0.14893617021276595
CLG0057,105,8.48,2,0,3,1,4,0,0.12087912087912088
CLG0070,90,5.33,6,1,5,10,1,0,0.12941176470588237
CLG0025,95,9.61,4,1,3,3,3,0,0.11864406779661017
CLG0077,90,9.58,9,1,10,1,4,0,0.16822429906542055
CLG0034,127,6.1,5,0,4,3,1,0,0.08928571428571429
CLG0025,99,7.02,4,0,9,9,4,0,0.11864406779661017
CLG0018,84,6.51,8,0,8,7,4,0,0.15217391304347827
CLG0073,112,9.01,3,1,1,9,4,1,0.11206896551724138
CLG0097,81,9.11,9,1,8,7,4,0,0.16831683168316833
CLG0070,103,5.97,8,1,2,9,2,0,0.12941176470588237
CLG0014,70,9.27,8,0,4,3,4,0,0.17647058823529413
CLG0006,80,5.96,10,1,6,7,1,0,0.10843373493975904
CLG0082,102,8.86,5,0,1,6,1,0,0.16842105263157894
CLG0090,111,6.98,1,0,3,2,3,0,0.22772277227722773
CLG0036,102,6.39,10,0,0,6,5,0,0.1827956989247312
CLG0036,98,5.51,9,0,10,3,0,0,0.1827956989247312
CLG0075,95,5.89,2,1,2,2,1,0,0.16806722689075632
CLG0018,77,8.72,1,1,5,5,1,0,0.15217391304347827
CLG0015,89,8.16,6,1,1,5,1,0,0.14736842105263157
CLG0094,93,5.16,1,1,7,2,1,0,0.15454545454545454
CLG0089,115,5.14,10,1,6,3,0,0,0.21505376344086022
CLG0016,105,5.11,10,0,2,8,0,0,0.18947368421052632
CLG0076,73,8.48,10,1,0,5,5,0,0.1511627906976744
CLG0014,104,8.15,7,0,9,8,4,1,0.17647058823529413
CLG0047,94,5.18,7,1,3,10,5,0,0.18627450980392157
CLG0054,89,7.89,1,1,3,4,1,0,0.16455696202531644
CLG0058,109,5.5,10,0,10,4,1,0,0.15517241379310345
CLG0077,115,9.56,5,0,4,6,3,1,0.16822429906542055
CLG0030,113,9.38,3,0,2,10,3,1,0.19047619047619047
CLG0100,87,8.7,2,0,10,5,3,0,0.17525773195876287
CLG0046,95,9.96,5,0,1,5,3,0,0.18095238095238095
CLG0016,104,8.91,5,0,1,9,4,1,0.18947368421052632
CLG0001,114,8.73,2,1,7,6,2,1,0.10091743119266056
CLG0041,92,7.65,6,0,6,3,3,0,0.18627450980392157
CLG0093,97,6.17,7,0,0,4,3,0,0.14444444444444443
CLG0027,83,6.06,1,0,8,9,0,0,0.15833333333333333
CLG0077,82,6.3,3,0,2,6,5,0,0.16822429906542055
CLG0062,112,8.1,4,0,2,8,1,1,0.18796992481203006
CLG0081,120,5.58,2,0,0,7,4,0,0.14432989690721648
CLG0028,98,6.53,10,1,10,1,1,0,0.25
CLG0020,115,6.87,5,1,3,1,2,0,0.13333333333333333
CLG0055,105,6.22,4,0,9,10,4,0,0.12790697674418605
CLG0051,90,7.61,2,0,10,7,2,0,0.19444444444444445
CLG0069,105,9.12,1,1,1,2,1,0,0.23076923076923078
CLG0088,123,9.11,8,0,2,9,0,1,0.15178571428571427
CLG0073,99,8.5,2,0,10,10,3,1,0.11206896551724138
CLG0097,123,7.51,4,0,0,9,1,0,0.16831683168316833
CLG0034,60,7.6,10,1,2,2,4,0,0.08928571428571429
CLG0027,112,6.04,5,0,3,9,3,1,0.15833333333333333
CLG0097,101,9.44,2,0,5,9,4,1,0.16831683168316833
CLG0038,95,6.16,10,0,2,10,2,0,0.2641509433962264
CLG0029,101,5.85,9,1,10,6,4,0,0.13761467889908258
CLG0035,70,8.5,2,0,5,5,0,0,0.14457831325301204
CLG0020,96,5.78,6,0,1,10,2,0,0.13333333333333333
CLG0019,105,6.69,7,0,10,2,5,0,0.14444444444444443
CLG0005,122,5.41,6,0,7,6,5,0,0.15178571428571427
CLG0025,92,6.11,4,0,4,9,1,0,0.11864406779661017
CLG0093,87,6.22,1,0,0,3,3,0,0.14444444444444443
CLG0026,92,5.57,2,0,5,3,3,0,0.21739130434782608
CLG0051,113,8.77,10,0,2,4,0,0,0.19444444444444445
CLG0066,104,9.39,10,1,3,10,4,1,0.168141592920354
CLG0061,92,7.12,6,0,9,4,1,0,0.1792452830188679
CLG0015,107,9.85,8,1,7,1,5,0,0.14736842105263157
CLG0045,101,5.58,3,1,7,2,4,0,0.20353982300884957
CLG0006,114,6.76,7,0,10,6,5,0,0.10843373493975904
CLG0058,89,5.99,9,0,7,5,4,0,0.15517241379310345
CLG0001,95,8.52,4,1,4,10,0,0,0.10091743119266056
CLG0073,94,7.48,7,0,0,4,5,0,0.11206896551724138
CLG0043,78,8.41,7,0,8,10,2,1,0.1414141414141414
CLG0016,104,9.26,10,0,10,9,5,1,0.18947368421052632
CLG0014,103,7.77,9,1,8,2,2,0,0.17647058823529413
CLG0074,100,7.65,3,0,7,8,0,0,0.11702127659574468
CLG0019,96,9.19,1,1,10,4,0,0,0.14444444444444443
CLG0051,78,6.54,8,1,2,9,0,0,0.19444444444444445
CLG0008,93,6.74,4,0,5,4,4,0,0.14893617021276595
CLG0048,94,8.54,2,0,6,2,5,0,0.18823529411764706
CLG0012,87,7.96,5,0,3,6,5,0,0.23636363636363636
CLG0070,97,6.31,4,0,9,9,4,0,0.12941176470588237
CLG0035,106,6.74,1,1,6,7,1,0,0.14457831325301204
CLG0070,128,7.7,7,0,8,1,0,0,0.12941176470588237
CLG0006,102,7.5,4,0,5,9,4,0,0.10843373493975904
CLG0099,103,5.89,8,1,1,6,2,0,0.15730337078651685
CLG0011,98,9.57,9,0,5,9,5,1,0.14893617021276595
CLG0038,71,9.07,8,1,2,2,5,0,0.2641509433962264
CLG0091,99,7.62,1,0,6,7,0,0,0.13
CLG0026,100,8.23,8,1,2,8,2,1,0.21739130434782608
CLG0028,136,9.09,5,0,7,8,3,1,0.25
CLG0072,97,5.44,1,1,10,5,1,0,0.13333333333333333
CLG0089,104,5.88,9,1,10,7,3,0,0.21505376344086022
CLG0083,99,7.5,9,0,4,7,1,0,0.15789473684210525
CLG0080,82,8.76,7,0,2,3,0,0,0.12380952380952381
CLG0050,117,5.32,7,0,0,2,5,0,0.16666666666666666
CLG0058,111,10.37,1,0,4,5,1,0,0.15517241379310345
CLG0026,111,7.46,9,0,9,4,4,0,0.21739130434782608
CLG0044,86,7.23,1,1,9,8,2,0,0.125
CLG0015,121,6.74,7,0,10,5,5,0,0.14736842105263157
CLG0076,78,6.1,9,0,2,9,4,0,0.1511627906976744
CLG0024,108,8.87,9,0,3,7,0,0,0.1511627906976744
CLG0077,132,9.6,5,0,9,1,3,1,0.16822429906542055
CLG0059,85,7.42,6,0,3,2,2,0,0.18085106382978725
CLG0057,91,10.17,2,0,2,8,0,0,0.12087912087912088
CLG0017,101,9.07,2,0,5,10,4,1,0.21052631578947367
CLG0077,92,6.92,10,0,5,8,4,0,0.16822429906542055
CLG0081,76,8.66,9,0,0,2,1,0,0.14432989690721648
CLG0001,101,6.96,1,0,3,7,1,0,0.10091743119266056
CLG0011,84,7.3,10,1,0,8,3,0,0.14893617021276595
