IQ,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,College_Performance_Rate
128,7.51,8,0,8,2,4,0.1836734693877551
73,5.48,3,0,6,9,2,0.1294117647058823
92,5.7,9,1,2,2,5,0.1864406779661017
72,9.06,8,0,3,4,0,0.1047619047619047
96,9.38,9,0,3,5,1,0.1792452830188679
92,9.87,8,0,0,5,4,0.1666666666666666
70,9.41,3,1,7,3,2,0.1864406779661017
93,10.16,7,0,1,10,3,0.144578313253012
107,9.29,5,1,1,3,5,0.1809523809523809
113,5.87,2,0,10,10,2,0.1578947368421052
100,6.02,2,0,10,10,0,0.1009174311926605
106,9.29,1,0,4,5,0,0.1836734693877551
106,5.36,8,1,9,9,2,0.1428571428571428
91,5.63,1,0,10,6,4,0.1573033707865168
88,8.47,4,0,5,6,4,0.25
113,9.43,2,1,1,5,1,0.168141592920354
89,6.68,6,0,5,3,1,0.2352941176470588
127,8.13,4,0,8,10,0,0.1047619047619047
97,9.77,8,0,0,10,3,0.2222222222222222
103,9.12,5,0,0,4,0,0.0892857142857142
98,5.61,4,0,3,5,3,0.1944444444444444
108,7.68,8,0,2,8,4,0.1862745098039215
87,8.8,5,1,6,3,3,0.1818181818181818
103,7.35,5,1,2,5,4,0.1764705882352941
104,9.76,10,0,8,7,1,0.1683168316831683
118,6.26,10,0,3,9,0,0.1684210526315789
91,6.72,4,1,5,3,5,0.1551724137931034
115,8.38,3,0,4,7,4,0.1683168316831683
107,9.21,5,0,7,3,0,0.1683168316831683
122,7.76,10,1,10,3,0,0.1444444444444444
73,8.54,6,0,0,2,0,0.1444444444444444
62,7.11,2,1,3,10,2,0.2307692307692307
93,5.75,1,0,10,10,3,0.0892857142857142
106,5.57,8,1,1,3,2,0.2268041237113402
102,9.03,2,0,10,7,4,0.1523809523809524
88,5.93,2,0,1,4,4,0.0980392156862745
122,8.69,3,0,5,3,4,0.1680672268907563
76,6.65,5,1,0,10,1,0.1551724137931034
106,6.21,9,1,6,1,3,0.1517857142857142
104,9.97,8,0,0,2,3,0.1444444444444444
115,7.36,9,0,10,1,1,0.1470588235294117
93,9.63,1,1,9,10,1,0.1578947368421052
57,5.97,2,0,1,7,0,0.13
82,7.97,9,0,5,6,4,0.2533333333333333
123,7.11,3,1,5,6,1,0.1551724137931034
106,9.34,8,1,10,2,5,0.2277227722772277
80,6.35,6,0,10,8,0,0.1511627906976744
